fragment,n_fragment,MW,SLogP,nRot,nN,nS,nO,nX,nBondsD,nBondsT,naRing,nARing
C1COCCOCCNCN2CCOCCOCCN(CCOCC2)CN1,5,390.2842203,-1.2052,0,4,0,5,0,0,0,0,2
C1COCCOCCNCN2CCOCCOCCN(CCOCCOCC2)CN1,5,434.3104351,-1.1886,0,4,0,6,0,0,0,0,3
C1COCCOCCOCC2CC(COCCOCCO1)C2,5,318.2042387,1.1258,0,0,0,6,0,0,0,0,3
C1COCCOCCOCCNCCSCCSCCN1,5,338.1697848,0.6954,0,2,2,3,0,0,0,0,1
C1COCCOCCOCCNCN2CCOCCOCCN(CCOCCOCC2)CN1,5,478.3366498,-1.172,0,4,0,7,0,0,0,0,3
C1COCCOCCOCCOCCNCN2CCOCCOCCN(CCOCCOCC2)CN1,5,522.3628646,-1.1554,0,4,0,8,0,0,0,0,3
C1COCCOCCOCCOCCOCCNPN1,5,310.1657586,-0.2293,0,2,0,5,0,0,0,0,1
C1COCCOCCSCSCCOCCO1,5,282.0959512,1.4903,0,0,2,4,0,0,0,0,1
C1COCCPCCOCCOCCPCCO1,5,296.1306326,1.4234,0,0,0,4,0,0,0,0,1
C1COCNCOC1,5,117.0789786,-0.0721,0,1,0,2,0,0,0,0,1
C1COCOCCNCOCOCN1,5,206.1266571,-0.9244,0,2,0,4,0,0,0,0,1
C1COPOCCOCCOPOCCN1,5,271.073846,0.6896,0,1,0,5,0,0,0,0,1
C1COPOPOPOPOC1,5,249.9478699,2.5071,0,0,0,5,0,0,0,0,1
C1CP2CCP1CC2,5,146.0414236,1.9774,0,0,0,0,0,0,0,0,3
C1CP2OCCOP(C1)S2,5,195.9876738,2.7939,0,0,1,2,0,0,0,0,2
C1CPC2CCCC(C1)CCC2,5,184.1380873,3.7977,0,0,0,0,0,0,0,0,3
C1CPN=N1,5,88.01903479,1.0457,0,2,0,0,0,1,0,0,1
C1CSCCNCCNCCSC1,5,220.1067906,1.0357,0,2,2,0,0,0,0,0,1
C1CSCCOPOCCSCCOPO1,5,304.0121743,2.5498,0,0,2,4,0,0,0,0,1
C1CSCCSCCNCCSCCSC1,5,297.0713337,2.9125,0,1,4,0,0,0,0,0,1
C1CSCCSCCNCCSCCSCCN1,5,326.0978828,2.112,0,2,4,0,0,0,0,0,1
C1CSCCSCCOCCSCCSCCO1,5,328.065914,2.966,0,0,4,2,0,0,0,0,1
C1CSCCSCCSCCCSCCSCCSC1,5,388.0515269,5.1794,0,0,6,0,0,0,0,0,1
C1CSCCSCCSCCSC1,5,254.0291346,3.3229,0,0,4,0,0,0,0,0,1
C1CSCCSSC1,5,165.9944633,2.5047,0,0,3,0,0,0,0,0,1
C1CSOPO1,5,123.974787,1.1899,0,0,1,2,0,0,0,0,1
C1CSSCCO1,5,136.0016569,1.398,0,0,2,1,0,0,0,0,1
C1NC2CC3C1C3C2,5,109.0891494,0.6142,0,1,0,0,0,0,0,0,4
C1NC2CNC1O2,5,100.0636629,-1.1384,0,2,0,1,0,0,0,0,2
C1NC2OCC3CC1CC32,5,139.099714,0.5883,0,1,0,1,0,0,0,0,3
C1NCC23CNCC(CC1C2)C3,5,166.1469986,0.5955,0,2,0,0,0,0,0,0,3
C1NCC2CCC(CC2)S1,5,157.0925205,1.8391,0,1,1,0,0,0,0,0,3
C1NCC2NC1OOO2,5,132.0534921,-1.2752,0,2,0,3,0,0,0,0,2
C1NN2CN3CN1NP2N3,5,160.0626309,-1.4536,0,6,0,0,0,0,0,0,3
C1NNP2NNCN1N2,5,148.0626309,-1.8495,0,6,0,0,0,0,0,0,2
C1NOPS1,5,108.9751214,0.7204,0,1,1,1,0,0,0,0,1
C1NOSO1,5,92.98844934,0.0585,0,1,1,2,0,0,0,0,1
C1OC2C3CC4CSC2C4CC13,5,182.0765361,1.7728,0,0,1,1,0,0,0,0,5
C1OC2CC(C2)O1,5,100.0524295,0.5217,0,0,0,2,0,0,0,0,3
C1OC2CC1O2,5,86.03677943,0.1316,0,0,0,2,0,0,0,0,3
C1OC2CC3CC1C3C2,5,124.088815,1.4313,0,0,0,1,0,0,0,0,3
C1OC2CNC3OC1CC3O2,5,157.0738932,-0.5539,0,1,0,3,0,0,0,0,3
C1OCOC2CCC(C2)O1,5,144.0786442,0.8859,0,0,0,3,0,0,0,0,2
C1OCSP1,5,107.9798724,1.2583,0,0,1,1,0,0,0,0,1
C1OOOO1,5,77.99530854,-0.2311,0,0,0,4,0,0,0,0,1
C1OPC2C3CCC2C1C3,5,156.0704017,2.0248,0,0,0,1,0,0,0,0,3
C1OPOPOP2OCN1CO2,5,230.9615322,1.515,0,1,0,5,0,0,0,0,3
C1OSCCSO1,5,137.9809214,1.2871,0,0,2,2,0,0,0,0,1
C1PPCPP1,5,155.9576468,2.459,0,0,0,0,0,0,0,0,1
C1S2=NP=NS1=NP=N2,5,195.9196113,2.4945,0,4,2,0,0,4,0,0,2
N1C2C3NC4C5OC(C1C35)C24,5,150.0793129,-1.3058,0,2,0,1,0,0,0,0,6
N1NPP1,5,93.98497139,0.1962,0,2,0,0,0,0,0,0,1
O1[PH][PH]1,5,79.95808794,1.3422,0,0,0,1,0,0,0,1,0
O1OC2C3C1C23,5,84.02112937,-0.055,0,0,0,2,0,0,0,0,4
O1SOS1,5,95.93397124,1.1596,0,0,2,2,0,0,0,0,1
S=I,5,158.876544,1.5339,0,0,1,0,1,1,0,0,0
S1P2SP3SP1SP(S2)S3,5,315.7274725,7.334,0,0,6,0,0,0,0,0,4
C1#CC=CC=CC=CC=CC=CCC=CC=CC=CC=CC=CC#C1,6,322.1721507,5.9589,0,0,0,0,0,10,2,0,1
C1#CC=CC=CC=CC=CCCC#C1,6,180.0939004,3.0118,0,0,0,0,0,4,2,0,1
C1#CC=CC=CC=CC=CCNC=CC=CC=CC=CC#C1,6,285.1517496,4.0035,0,1,0,0,0,8,2,0,1
C1#CC=CC=CC=CCNC=CC=CC=CC#C1,6,233.1204495,2.8911,0,1,0,0,0,6,2,0,1
C1#CC=CC=CC=CN=CC=CC=CC#C1,6,205.0891494,2.8161,0,1,0,0,0,6,2,0,1
C1#CC=CCC=CC=CCC=CC=C1,6,182.1095504,3.5646,0,0,0,0,0,5,1,0,1
C1#CCC2=CCCC(CCC=CCC1)C2,6,200.1565006,4.2366,0,0,0,0,0,2,1,0,2
C1#CCC2=CCCCC(C#CC=C1)C2,6,182.1095504,3.0697,0,0,0,0,0,2,2,0,2
C1#CCC2CC(C#CC=C1)CO2,6,158.0731649,1.3582,0,0,0,1,0,1,2,0,2
C1#CCC2CC3=CC(=C4C=CCC=C2N34)C=C1,6,219.1047994,3.3385,0,1,0,0,0,3,1,1,4
C1#CCCC#CC=CC#CCCC#C1,6,178.0782503,2.1302,0,0,0,0,0,1,4,0,1
C1#CCCC#CCCC#CCCC#C1,6,180.0939004,2.3542,0,0,0,0,0,0,4,0,1
C1#CCCC=CC=CC=CCC=CC=CC=CCCC#C1,6,274.1721507,5.2945,0,0,0,0,0,6,2,0,1
C1#CCCC=CC2=CC=CCC#CCCC=CC(=CC=CC1)C#C2,6,310.1721507,5.442,0,0,0,0,0,6,3,0,2
C1#CCCC2=CC=C(COCC=CCC1)O2,6,216.1150298,3.0822,0,0,0,2,0,1,1,1,1
C1#CCCCCCC=CCCCCC1,6,190.1721507,4.4606,0,0,0,0,0,1,1,0,1
C1#CCCCCCCC=CCCC=CCC1,6,216.1878008,5.0168,0,0,0,0,0,2,1,0,1
C1#CCCCCCCCCCCC1,6,178.1721507,4.2945,0,0,0,0,0,0,1,0,1
C1#CCCSCC1,6,112.0346713,1.5168,0,0,1,0,0,0,1,0,1
C1#CCNC2=CC=CC(=C2)NCC#CCC1,6,210.1156984,2.311,0,2,0,0,0,0,2,1,1
C1#CCNCC#CCCC#CCNCC#CCC1,6,238.1469986,0.7532,0,2,0,0,0,0,4,0,1
C1#CCSC=CSCC#CCC1,6,194.0223923,2.7246,0,0,2,0,0,1,2,0,1
C1#CNCCCOC=CC=COCCCC1,6,221.1415788,2.1715,0,1,0,2,0,2,1,0,1
C1=[SH]CCCCC1,6,116.0659714,1.8281,0,0,1,0,0,1,0,0,1
C1=[SH]CCCS1,6,120.0067423,1.3485,0,0,2,0,0,1,0,0,1
C1=C[NH]C=C2C=CC3=CC=C4C=CC(=C[NH]C=C[NH]1)N=C4C3=N2,6,301.1327455,4.1693,0,5,0,0,0,0,0,4,0
C1=C[NH]C=CSN=C1,6,126.0251692,1.5956,0,2,1,0,0,0,0,1,0
C1=C[PH]P=C1,6,101.9788234,2.298,0,0,0,0,0,0,0,1,0
C1=C[SH]2CC[SH]1CC2,6,148.0380424,1.4872,0,0,2,0,0,1,0,0,3
C1=C=C2C=CC(=CC=C3C=CC(=N3)C#CC3=NC(=CC=C4C=CC=1[NH]4)C=C3)[NH]2,6,358.1218464,0.7254,0,4,0,0,0,11,1,2,3
C1=C=CC=CC=CC#CC#CC=CC=CC=1,6,202.0782503,3.098,0,0,0,0,0,7,2,0,1
C1=C=CC=CCCC#CCCC=CC=1,6,182.1095504,3.5426,0,0,0,0,0,5,1,0,1
C1=C=NC=NC=1,6,78.02179806,0.3668,0,2,0,0,0,4,0,0,1
C1=C=NCC=1,6,65.0265491,0.381,0,1,0,0,0,3,0,0,1
C1=C2C=C(C1)CSCC1=CC(=CC1)CSC2,6,248.0693425,3.9794,0,0,2,0,0,4,0,0,3
C1=C2C=C(C2)[NH]1,6,79.04219916,0.9189,0,1,0,0,0,0,0,1,2
C1=C2C=C(CC1)OCC2,6,122.0731649,2.0108,0,0,0,1,0,2,0,0,2
C1=C2C=C(CN1)COCCOCCOCCOCCOC2,6,299.1732729,0.4965,0,1,0,5,0,2,0,0,2
C1=C2C=C3C=C1CSCCP(CCSC2)CCSC3,6,328.0543003,4.8953,0,0,3,0,0,0,0,1,3
C1=C2C=C3C=CC(=CC=C4C=CC(=CC(=C1)C2)O4)O3,6,248.0837296,0.9649,0,0,0,2,0,6,0,2,2
C1=C2C=C3C=CC(=CC4=NC(=CC5=CC=C(C=C1CC2)[NH]5)CC4)[NH]3,6,313.1578976,4.4902,0,3,0,0,0,0,0,3,2
C1=C2C=C3CCC1=C3CCCOCCO2,6,204.1150298,2.1268,0,0,0,2,0,0,0,1,3
C1=C2C=NC(=C1)CCCCCCC2,6,175.1360995,3.1307,0,1,0,0,0,0,0,1,2
C1=C2C=NC(=C1)CCCCCCCC2,6,189.1517496,3.5208,0,1,0,0,0,0,0,1,2
C1=C2C3=C(CC1)CC1N2CN31,6,146.0843983,1.2367,0,2,0,0,0,2,0,0,4
C1=C2C3CC4C5CC(C1C35)C24,6,144.0939004,2.0744,0,0,0,0,0,1,0,0,6
C1=C2C3CC4NNC3C3C2NNC1C43,6,190.1218464,-1.1177,0,4,0,0,0,1,0,0,7
C1=C2CC(=CCC1)C2,6,106.0782503,2.4268,0,0,0,0,0,2,0,0,3
C1=C2CC(=N1)CN2,6,94.05309819,0.2757,0,2,0,0,0,2,0,0,2
C1=C2CC(CCCC1)CC1=CC2=CC=C1,6,198.1408506,4.2064,0,0,0,0,0,1,0,1,2
C1=C2CC(CCO2)NNC1,6,140.094963,0.1571,0,2,0,1,0,1,0,0,2
C1=C2CC=C(C1)C1=CC=C(C=C1)OCCOCCOCCO2,6,302.1518092,3.1899,0,0,0,4,0,2,0,1,4
C1=C2CC=C(CCCCCCCCCC1)OC2,6,234.1983655,5.1316,0,0,0,1,0,2,0,0,3
C1=C2CC3=CC=C([NH]3)C3CCCC4=C3[NH]C(=C4)C3CCCC4=C3[NH]C(=C4)CC(=C1)[NH]2,6,396.2313969,5.4304,0,4,0,0,0,0,0,4,3
C1=C2CC3=CC=C(CC4=NC(=CC4)CC4=CC=C(CC(=N2)C1)[NH]4)[NH]3,6,316.1687966,3.6838,0,4,0,0,0,4,0,2,3
C1=C2CC3CCC(C2)C1C3,6,134.1095504,2.7527,0,0,0,0,0,1,0,0,3
C1=C2CCC(=C1)CCC1=C3C=C(CC2)C(=C1)CCC1=CC=C(C=C1)CC3,6,340.2191009,6.0958,0,0,0,0,0,2,0,2,9
C1=C2CCC(=C1)COCCC1=CC=C(C=C1)CCOC2,6,270.1619799,3.465,0,0,0,2,0,2,0,1,5
C1=C2CCC(=C1)CSCC1=C3CC(=CCSC2)CC3=CC=C1,6,326.1162927,5.3382,0,0,2,0,0,3,0,1,4
C1=C2CCC(=C1)O2,6,94.04186481,1.3782,0,0,0,1,0,0,0,1,1
C1=C2CCC(=C1)SS2,6,141.9910922,2.943,0,0,2,0,0,2,0,0,3
C1=C2CCC(=C3CCCC=C2CC3)CCC1,6,214.1721507,5.0776,0,0,0,0,0,3,0,0,3
C1=C2CCC(=CC3=CC=C(N=C4CCC(=N4)N=C4CCC1=N4)[NH]3)[NH]2,6,318.1592946,2.1828,0,6,0,0,0,0,0,2,3
C1=C2CCC(=CCC1)C1=C3CCCCC(=C2CC1)CC3,6,266.2034508,6.168,0,0,0,0,0,4,0,0,4
C1=C2CCC(N1)N2,6,96.06874826,0.1405,0,2,0,0,0,1,0,0,2
C1=C2CCC=C(CCCCCOC1)C2,6,192.1514153,3.6137,0,0,0,1,0,2,0,0,2
C1=C2CCC=C(CO1)C2,6,122.0731649,2.0108,0,0,0,1,0,2,0,0,2
C1=C2CCC=C1OCCOCCOCCOCCOCCC2,6,312.193674,2.4673,0,0,0,5,0,2,0,0,2
C1=C2CCC=C1OCCOCCOCCOCCOCCOCCOCCC2,6,400.2461035,2.5005,0,0,0,7,0,2,0,0,2
C1=C2CCC=C3CC4=CC=CC(=C4C3)CCC(=C1)CC2,6,262.1721507,5.0846,0,0,0,0,0,3,0,1,4
C1=C2CCC=C3CCCC1OC23,6,162.1044651,2.5843,0,0,0,1,0,2,0,0,3
C1=C2CCC3=CC=CC(=C3CC2)CCC2=CC=CC(=C2)CC1,6,288.1878008,5.2232,0,0,0,0,0,1,0,2,2
C1=C2CCCC(=C1)C2,6,106.0782503,2.4268,0,0,0,0,0,2,0,0,2
C1=C2CCCC(=CCCC1)C2,6,148.1252005,3.5971,0,0,0,0,0,2,0,0,2
C1=C2CCCC(=CO1)C2,6,122.0731649,2.3584,0,0,0,1,0,2,0,0,2
C1=C2CCCC(C1)N2,6,109.0891494,1.4161,0,1,0,0,0,1,0,0,2
C1=C2CCCC1C1CCCC3CC4CNC(C2)CN4C31,6,272.2252489,2.9476,0,2,0,0,0,1,0,0,5
C1=C2CCCC3=C4C(=CCCC4=CC=C23)C1,6,208.1252005,4.1396,0,0,0,0,0,2,0,1,3
C1=C2CCCC3=CC=C(C=C3)CCCC(C1)C2,6,226.1721507,4.682,0,0,0,0,0,1,0,1,3
C1=C2CCCC3=CCC(CC1)CC3O2,6,190.1357652,3.5696,0,0,0,1,0,2,0,0,3
C1=C2CCCC3CC(CC1)C2O3,6,164.1201151,2.6642,0,0,0,1,0,1,0,0,3
C1=C2CCCC3CC4COC(CCCC5CCC6C5CCC(C6C1)C23)C4,6,354.2922658,6.3805,0,0,0,1,0,1,0,0,7
C1=C2CCCCC(CCC1)CC2,6,164.1565006,4.0671,0,0,0,0,0,1,0,0,2
C1=C2CCCCC3CC1OC23,6,150.1044651,2.2741,0,0,0,1,0,1,0,0,3
C1=C2CCCCCC1CC1=CC2=CC=C1,6,198.1408506,4.2064,0,0,0,0,0,1,0,1,2
C1=C2CCCCCCCCC(C1)CC2,6,192.1878008,4.8473,0,0,0,0,0,1,0,0,3
C1=C2CCCCCCCCCC1NC2,6,193.1830497,3.4091,0,1,0,0,0,1,0,0,2
C1=C2CCCCCCCCCCC(C1)CC2,6,220.2191009,5.6275,0,0,0,0,0,1,0,0,3
C1=C2CCSCC=C(CCSC1)S2,6,230.0257634,3.7612,0,0,3,0,0,2,0,0,2
C1=C2CN(CC1)C2,6,95.07349929,0.6321,0,1,0,0,0,1,0,0,3
C1=C2CNCC3=CC=C(CSCC(=C1)O2)O3,6,235.0666997,2.9092,0,1,1,2,0,0,0,2,1
C1=C2COC3C4CC5CC3CC(CCNC3CN2C3SC1)(C5)C4,6,332.1922345,2.8322,0,2,1,1,0,1,0,0,10
C1=C2COC3CN2C3SC1,6,155.0404849,0.6576,0,1,1,1,0,1,0,0,4
C1=C2COCCCCOCC(C1)C2,6,182.1306798,2.1498,0,0,0,2,0,1,0,0,2
C1=C2COCCOCCOCC(COC2)N=N1,6,242.1266571,0.7847,0,2,0,4,0,2,0,0,3
C1=C2COCCOCCOCCOCC(=CC1)N2,6,255.1470582,0.8275,0,1,0,4,0,2,0,0,2
C1=C2COCCOCCOCCOCCOCC1=N[NH]2,6,286.1528718,0.5063,0,2,0,5,0,0,0,1,1
C1=C2COCOCC(=CN1)C2,6,153.0789786,0.7518,0,1,0,2,0,2,0,0,2
C1=C2N=C3CCC(=N3)N=C3CCC(=N3)N=C3CCC(=N3)[NH]C(=C1)[NH]2,6,320.1497925,0.9728,0,8,0,0,0,0,0,2,3
C1=C2N=C3CCC(=NC4=CC=C(N=C5CC=C(N=C(C1)N2)N5)[NH]4)N3,6,320.1497925,1.9381,0,8,0,0,0,6,0,1,4
C1=C2NC3CCC4CC(COC1)C2CC43,6,205.1466642,1.9247,0,1,0,1,0,1,0,0,4
C1=C2OCC(CC1)O2,6,112.0524295,1.037,0,0,0,2,0,1,0,0,2
C1=C2SCC(N1)S2,6,130.9863412,1.1946,0,1,2,0,0,1,0,0,2
C1=CC=C2C=CSC=CC(=C1)C2,6,174.0503213,3.5733,0,0,1,0,0,5,0,0,2
C1=CC=C2CC(=C1)C=CC=N2,6,143.0734993,2.3972,0,1,0,0,0,5,0,0,2
C1=CC=C2CC(=C1)C=CCC=N2,6,157.0891494,2.7873,0,1,0,0,0,5,0,0,2
C1=CC=C2CC(=C1)COCCCO2,6,178.0993797,2.1935,0,0,0,2,0,3,0,0,2
C1=CC=CCC=CC=CCC=C1,6,158.1095504,3.5612,0,0,0,0,0,5,0,0,1
C1=CC=CCCCC=C1,6,120.0939004,2.8389,0,0,0,0,0,3,0,0,1
C1=CC=CCCCCCC=C1,6,148.1252005,3.6191,0,0,0,0,0,3,0,0,1
C1=CC=CCCCCCCCCCCC=C1,6,218.2034508,5.5696,0,0,0,0,0,3,0,0,1
C1=CC=CCNCCC=CC=CCCC=CCCC=C1,6,269.2143499,4.8773,0,1,0,0,0,6,0,0,1
C1=CC=COOC=C1,6,110.0367794,1.997,0,0,0,2,0,0,0,1,0
C1=CC=NNC=1,6,80.03744813,0.2442,0,2,0,0,0,3,0,0,1
C1=CC2=C3C=C(C=C2C2=CC=C3C=C2)C1,6,190.0782503,3.9033,0,0,0,0,0,1,0,4,2
C1=CC2=C3C=C1C1CCC4=C(OC3)C(=CC=C4S1)OC2,6,282.0714507,4.251,0,0,1,2,0,0,0,2,4
C1=CC2=C3C=C1CC2CCC3,6,144.0939004,2.6626,0,0,0,0,0,0,0,1,3
C1=CC2=C3C=C1CCN(C2)C3,6,145.0891494,1.5583,0,1,0,0,0,0,0,1,2
C1=CC2=C3C=C1CCNC(CC2)C3,6,173.1204495,1.6896,0,1,0,0,0,0,0,1,2
C1=CC2=C3C=CC(=CN=CC=NC=C4C=CC(=C5C=CC(=CC1=N2)[NH]5)[NH]4)[NH]3,6,352.1436445,4.6103,0,6,0,0,0,1,0,4,1
C1=CC2=C3C=CC(=N3)C=C3C=CC(=CC4=CC=C(C=C5C=C(C1)C2=N5)[NH]4)[NH]3,6,348.1374965,5.4427,0,4,0,0,0,3,0,3,3
C1=CC2=C3C=CC=C(CCC4=CN=CC(=N4)CC2)C3=C1,6,260.1313485,3.5136,0,2,0,0,0,0,0,3,1
C1=CC2=C3C4=C1CCC(=C4)N3CCNC2,6,198.1156984,1.8431,0,2,0,0,0,0,0,2,2
C1=CC2=C3C4=C1CCC3(CCC2)CC4,6,184.1252005,3.1531,0,0,0,0,0,0,0,1,3
C1=CC2=C3CC4=C(C=CC=C4OPOC3=C1)C2,6,242.0496662,3.4613,0,0,0,2,0,0,0,2,2
C1=CC2=C3CC4=C(C2)C(=CC=C4)SNCC3=C1,6,239.0768704,3.2919,0,1,1,0,0,0,0,2,3
C1=CC2=C3CN4CC(CCN24)C3=C1,6,172.1000484,1.7245,0,2,0,0,0,0,0,1,3
C1=CC2=C3N=C([NH]C3=C1)C1=NC=CC(=C1)NC2,6,222.0905463,2.5504,0,4,0,0,0,0,0,3,1
C1=CC2=C3OC(CCOC3=C1)C2,6,162.0680796,1.7726,0,0,0,2,0,0,0,1,2
C1=CC2=C3OCC(C2)OCOC3=C1,6,178.0629942,1.3566,0,0,0,3,0,0,0,1,3
C1=CC2=C3OCC4C5COC6=C(C=CC=C6OCCCCCCCOC3=C1)C5C24,6,392.1987594,5.3065,0,0,0,4,0,0,0,2,4
C1=CC2=CC(=C1)C1=CC=CC(=C1)C1=CC=CC(=C1)COCCNCCOC2,6,359.188529,4.657,0,1,0,2,0,0,0,3,1
C1=CC2=CC(=C1)C1=CC=CC(=C1)CCCCC1CCC(CCCC2)CN1,6,347.2613001,6.161,0,1,0,0,0,0,0,2,3
C1=CC2=CC(=C1)C1=NC(CCNCCCSC3=CC2=NC=N3)CO1,6,340.1357823,2.7645,0,4,1,1,0,1,0,2,2
C1=CC2=CC(=C1)C1=NC=NC(=C1)SCCCNCCCNC2,6,314.1565177,2.7087,0,4,1,0,0,0,0,2,1
C1=CC2=CC(=C1)C1=NC=NC(=C1)SCCNCCCCCCNC2,6,342.1878178,3.4889,0,4,1,0,0,0,0,2,1
C1=CC2=CC(=C1)C1=NC=NC(=C1)SCCNCCCCNC2,6,314.1565177,2.7087,0,4,1,0,0,0,0,2,1
C1=CC2=CC(=C1)CC1=CC(=CC=C1)CN1CCCN(CC3=CC=CC(=C3)C2)C1,6,368.2252489,4.847,0,2,0,0,0,0,0,3,2
C1=CC2=CC(=C1)CC1=CC(=CC=C1)CN1CCN(CC3=CC=CC(=C3)C2)C1,6,354.2095988,4.4569,0,2,0,0,0,0,0,3,2
C1=CC2=CC(=C1)CC1=CC=CC(=C1)CCC1=CC=CC(=C1)CC1=CC=CC(=C1)CC2,6,388.2191009,6.752,0,0,0,0,0,0,0,4,1
C1=CC2=CC(=C1)CC1=CC=CC(=C1)CN1CCN(CC3=CC(=CC=C3)C2)C1,6,354.2095988,4.4569,0,2,0,0,0,0,0,3,2
C1=CC2=CC(=C1)CC1=CC=CC(=C1)CSCC1=CC=CC(=C1)CC1=CC(=CC=C1)CSC2,6,452.1632429,8.0484,0,0,2,0,0,0,0,4,1
C1=CC2=CC(=C1)CC1CC3=C(C=CC=C3CN1)OC1=CC=C3CCNC(CC4=CC=C(C=C4)O2)C3=C1,6,474.2307282,6.2711,0,2,0,2,0,0,0,4,4
C1=CC2=CC(=C1)CC1CN2CCO1,6,175.099714,1.4479,0,1,0,1,0,0,0,1,2
C1=CC2=CC(=C1)CCC1=CC(=CC=C1)CSC2,6,240.0972715,4.2186,0,0,1,0,0,0,0,2,1
C1=CC2=CC(=C1)CCC1=CC(=CC=C1)NC2,6,209.1204495,3.3973,0,1,0,0,0,0,0,2,1
C1=CC2=CC(=C1)CCC1=CC=CC(=C1)NC2,6,209.1204495,3.3973,0,1,0,0,0,0,0,2,1
C1=CC2=CC(=C1)CCC1=CC=CC(=C1)OC1=CC=C(C=C1)CCCCO2,6,344.17763,5.9792,0,0,0,2,0,0,0,3,2
C1=CC2=CC(=C1)CCCC1=CC=CC(=C1)CCCC1=CC(=CC=C1)CCC2,6,354.234751,6.5259,0,0,0,0,0,0,0,3,1
C1=CC2=CC(=C1)CCCCC1=CC(=CC=C1)C2,6,222.1408506,4.1562,0,0,0,0,0,0,0,2,1
C1=CC2=CC(=C1)CCCCCCC1=CC(=CC=C1)C2,6,250.1721507,4.9364,0,0,0,0,0,0,0,2,1
C1=CC2=CC(=C1)CCCCCCCCCCCCCCCCCCCCCCCC2,6,412.4069017,10.3674,0,0,0,0,0,0,0,1,1
C1=CC2=CC(=C1)CCCCOCCOCCOCCOCCC2,6,322.2144094,3.0219,0,0,0,4,0,0,0,1,1
C1=CC2=CC(=C1)CCCCS2,6,164.0659714,3.115,0,0,1,0,0,0,0,1,1
C1=CC2=CC(=C1)CCCNCCCNCC1=CC=CC(=C1)O2,6,296.1888634,3.4944,0,2,0,1,0,0,0,2,1
C1=CC2=CC(=C1)CCCNNCCNCC1=CC=CC(=C1)O2,6,297.1841124,2.6089,0,3,0,1,0,0,0,2,1
C1=CC2=CC(=C1)CCCOCC1=CC(=NC=C1)NCCCC2,6,296.1888634,3.9792,0,2,0,1,0,0,0,2,1
C1=CC2=CC(=C1)CCCOCCOCCOCCOCCOCCO2,6,354.2042387,2.0946,0,0,0,6,0,0,0,1,1
C1=CC2=CC(=C1)CCNCCCC2,6,175.1360995,2.155,0,1,0,0,0,0,0,1,1
C1=CC2=CC(=C1)CCNCCCCCC1=CN=C3C=CC(=CC3=C1)O2,6,332.1888634,4.8856,0,2,0,1,0,0,0,3,1
C1=CC2=CC(=C1)CCNCCNCNCCCCCO2,6,277.2154125,1.5181,0,3,0,1,0,0,0,1,1
C1=CC2=CC(=C1)CCSCC1=CC=CC(=C1)CSCC2,6,300.1006426,4.9518,0,0,2,0,0,0,0,2,1
C1=CC2=CC(=C1)CCSNSCC2,6,211.0489414,2.6712,0,1,2,0,0,0,0,1,1
C1=CC2=CC(=C1)CN1CCCN(CC3=CC=CC(=C3)CC3=NC(=CC=C3)C2)C1,6,369.2204979,4.242,0,3,0,0,0,0,0,3,2
C1=CC2=CC(=C1)CN1CCN(CC3=CC=CC(=C3)CC3=NC(=CC=C3)C2)C1,6,355.2048478,3.8519,0,3,0,0,0,0,0,3,2
C1=CC2=CC(=C1)CN1CSC(=N1)SCCCCSC1=NN(CS1)C2,6,396.0570806,4.5014,0,4,4,0,0,2,0,1,3
C1=CC2=CC(=C1)CN2,6,105.0578492,1.6121,0,1,0,0,0,0,0,1,1
C1=CC2=CC(=C1)CNCC1=CC=CC(=C1)CC1=CC=CC(=C1)CC1=CC(=CC=C1)C2,6,389.2143499,6.0622,0,1,0,0,0,0,0,4,1
C1=CC2=CC(=C1)CNCCCCCCCCNC2,6,246.2095988,3.22,0,2,0,0,0,0,0,1,1
C1=CC2=CC(=C1)CNCCCCNC1CCN(C1)C1=CC=CC3=CC=C(C=C13)O2,6,387.2310625,4.6838,0,3,0,1,0,0,0,3,2
C1=CC2=CC(=C1)CNCCCN1CCN(CC1)C1=CC=CC3=CC=C(C=C13)O2,6,373.2154125,4.2474,0,3,0,1,0,0,0,3,3
C1=CC2=CC(=C1)CNCCCN1CCN(CC1)CC1=C3C=C(C=CC3=CC=C1)O2,6,387.2310625,4.243,0,3,0,1,0,0,0,3,3
C1=CC2=CC(=C1)CNCCCN1CCSC3=C1C=C(C=C3)NC2,6,325.1612687,3.7041,0,3,1,0,0,0,0,2,2
C1=CC2=CC(=C1)CNCCCNSC1=CC(=CC=C1)O2,6,286.1139842,3.5689,0,2,1,1,0,0,0,2,1
C1=CC2=CC(=C1)CNCCN1CCN(CC1)CC1=CC=CC(=C1)O2,6,323.1997624,2.6997,0,3,0,1,0,0,0,2,3
C1=CC2=CC(=C1)CNCCNC1CCN(C1)C1CCC3=CC=C(C=C31)O2,6,349.2154125,3.2333,0,3,0,1,0,0,0,2,3
C1=CC2=CC(=C1)COC1=CC(=CC=C1)NCOCCNC2,6,284.1524779,2.7548,0,2,0,2,0,0,0,2,1
C1=CC2=CC(=C1)COCCN2,6,149.084064,1.6287,0,1,0,1,0,0,0,1,1
C1=CC2=CC(=C1)COCCOCC1=NC(=C[NH]1)COCCOC2,6,318.1579572,2.1899,0,2,0,4,0,0,0,2,1
